XH,Pts_x,Pct_x,Avg1_x,Avg2_x,Tot_x,TO_x,Pts_y,Pct_y,Avg1_y,Avg2_y,Tot_y,TO_y,classifyRes,markRes,recomRes,RankScore,Abs,Rel,countRecom,tsne,LDA
Ole Miss,0.0,0.5741626794258375,0.20000000000000004,0.24137931034482762,0.26249999999999996,0.7499999999999999,0.46361185983827496,0.5906976744186047,0.5178571428571429,0.6190476190476192,0.38607594936708844,0.5714285714285715,2,-1,-1,0.3698674022209688,87,,0,"[0.40975380862196215, 0.11003270845947052]","[0.5392924073187428, 0.29308170897628727]"
Stanford,0.014652014652014602,0.44497607655502397,0.08571428571428578,0.06896551724137936,0.1625000000000001,0.20833333333333331,0.4339622641509434,0.8139534883720929,0.5357142857142857,0.5952380952380955,0.39240506329113917,0.4285714285714287,2,-1,-1,0.20096402573595623,120,,0,"[0.5202550948251046, 0.008058855043058259]","[0.6545695214283203, 0.49909081290260715]"
Clemson,0.02564102564102562,0.11004784688995206,0.0571428571428572,0.0,0.0,0.4583333333333333,0.5309973045822103,0.7953488372093026,0.39285714285714285,0.4761904761904764,0.39240506329113917,0.33333333333333337,2,-1,-1,0.09662061765347778,126,,0,"[0.4839167057239032, 0.0]","[0.8717693018830281, 0.44756510135971445]"
LSU,0.05494505494505495,0.19138755980861252,0.42857142857142855,0.31034482758620696,0.08125000000000004,0.3333333333333333,0.444743935309973,0.12093023255813964,0.6071428571428571,0.5238095238095238,0.3734177215189872,0.2857142857142858,2,-1,-1,0.12783626556152872,124,,0,"[0.43164311756584595, 0.24174724104752943]","[0.8259653357145714, 0.5304457026646096]"
Temple,0.05494505494505495,0.5263157894736844,0.2857142857142857,0.2758620689655171,0.32499999999999996,0.7499999999999999,0.3234501347708895,0.25581395348837216,0.39285714285714285,0.33333333333333337,0.06329113924050632,0.761904761904762,2,-1,-1,0.2288090605153326,114,,0,"[0.2008418765603072, 0.21917713792630802]","[0.7279437594279419, 0.2635814547899288]"
Alabama,0.08791208791208786,0.3205741626794258,0.1142857142857144,0.31034482758620696,0.15625,0.29166666666666663,0.6954177897574123,0.7767441860465116,0.6785714285714285,0.7857142857142859,0.6329113924050632,0.4285714285714287,2,-1,-1,0.3872730236570244,80,,0,"[0.7526796799351116, 0.14958240856515512]","[0.4996581009103878, 0.6197961133549739]"
Penn State,0.0952380952380953,0.2535885167464115,0.0285714285714286,0.1034482758620689,0.025000000000000022,0.375,0.2560646900269542,0.36744186046511634,0.28571428571428564,0.2857142857142857,0.3101265822784809,0.6190476190476192,2,-1,-1,0.0,127,,0,"[0.20710368687694927, 0.11930358144083464]","[1.0, 0.5666526410224058]"
Texas Christian,0.1098901098901099,0.03827751196172237,0.0,0.24137931034482762,0.1625000000000001,1.0,0.954177897574124,0.6418604651162791,0.7142857142857142,0.7857142857142859,0.7088607594936708,0.4761904761904763,2,-1,-1,0.48165090266594296,62,,0,"[0.8122126786491302, 0.05305535740247479]","[0.5878135343941776, 0.33703186606841395]"
Arkansas,0.1172161172161172,0.36842105263157887,0.20000000000000004,0.379310344827586,0.1937500000000001,0.4583333333333333,0.5606469002695417,0.36279069767441857,0.6785714285714285,0.5714285714285715,0.4999999999999999,0.2857142857142858,2,-1,-1,0.2846168857199945,108,,0,"[0.4751390841750718, 0.22218589783855783]","[0.6624610228868901, 0.39341676380446483]"
UCF,0.1172161172161172,0.3540669856459331,0.1142857142857144,0.17241379310344826,0.1937500000000001,0.625,0.4582210242587601,0.3906976744186047,0.3392857142857143,0.38095238095238104,0.39240506329113917,0.7142857142857145,2,-1,-1,0.21247561950955218,117,,0,"[0.26455620833404525, 0.14807799802722918]","[0.76788526147529, 0.4186251268639616]"
Memphis,0.12820512820512822,0.27272727272727265,0.17142857142857146,0.24137931034482762,0.2875000000000001,0.7083333333333333,0.6765498652291105,0.7023255813953492,0.5178571428571429,0.5000000000000001,0.5253164556962026,0.38095238095238104,2,-1,-1,0.3589363010536501,90,,0,"[0.4971386332562488, 0.08827115757560448]","[0.5877849648248784, 0.19521213687647823]"
Utah State,0.13553113553113552,0.30622009569377995,0.14285714285714285,0.2758620689655171,0.30625000000000013,0.5833333333333333,0.4258760107816711,0.6930232558139536,0.6428571428571429,0.5952380952380955,0.19620253164556947,0.38095238095238104,2,-1,-1,0.2859828035705454,107,,0,"[0.4695456888842235, 0.10441678884605873]","[0.716759810946315, 0.3219043699000365]"
San Diego State,0.13919413919413923,0.3875598086124401,0.2857142857142857,0.31034482758620696,0.23750000000000004,0.5416666666666666,0.3746630727762803,0.2232558139534883,0.7321428571428572,0.5952380952380955,0.3227848101265821,0.4761904761904763,2,-1,-1,0.27611396152290735,109,,0,"[0.41123687524237057, 0.21708989942440768]","[0.7318892490926925, 0.42801595818949584]"
Virginia Tech,0.15384615384615383,0.0,0.31428571428571433,0.379310344827586,0.15000000000000013,0.41666666666666663,0.35040431266846367,0.5488372093023256,0.4464285714285714,0.3571428571428573,0.3670886075949367,0.6190476190476192,2,-1,-1,0.18701138323177657,122,,0,"[0.26288161546118866, 0.07660802320889579]","[0.7862733767299103, 0.5294576624053112]"
Houston,0.16849816849816857,0.3875598086124401,0.25714285714285723,0.31034482758620696,0.30625000000000013,0.6666666666666665,0.5040431266846361,0.5953488372093024,0.6249999999999999,0.5476190476190478,0.48734177215189867,0.4761904761904763,2,-1,-1,0.39630623060301723,79,,0,"[0.46666578679178894, 0.13050477770302907]","[0.5630872172992737, 0.2701108043839792]"
Georgia,0.17216117216117216,0.29186602870813383,0.3714285714285714,0.2758620689655171,0.32499999999999996,0.625,0.8140161725067384,0.92093023255814,0.857142857142857,0.8095238095238096,0.5443037974683542,0.1428571428571429,1,-1,1,0.5356297050112233,42,,1,"[0.9093224653098245, 0.16986899918548432]","[0.3989180847785679, 0.2227282753041337]"
Wisconsin,0.17582417582417587,0.06220095693779893,0.22857142857142865,0.31034482758620696,0.03125,0.20833333333333331,0.6334231805929919,0.34418604651162793,1.0,0.8095238095238096,0.48734177215189867,0.5714285714285715,2,-1,-1,0.31633524265012875,101,,0,"[0.6464535534684787, 0.1257188787512937]","[0.7087868542097843, 0.8428621699233928]"
Marshall,0.18315018315018317,0.3253588516746411,0.2857142857142857,0.24137931034482762,0.45625000000000004,0.375,0.9299191374663073,0.530232558139535,0.9821428571428571,1.0,0.7468354430379747,0.4761904761904763,0,-1,1,0.6006997220404391,25,,1,"[0.8346113345413538, 0.16498820490516186]","[0.3020603913418819, 0.4948674332839254]"
Florida,0.18681318681318687,0.2583732057416268,0.1142857142857144,0.2068965517241378,0.23750000000000004,0.7499999999999999,0.5175202156334232,0.21395348837209316,0.5535714285714286,0.4285714285714287,0.2025316455696202,0.6190476190476192,2,-1,-1,0.2186890471338419,116,,0,"[0.2997854776378606, 0.170353965386172]","[0.8729564068491249, 0.3552802594315328]"
Missouri,0.18681318681318687,0.6267942583732057,0.20000000000000004,0.2758620689655171,0.33750000000000013,0.4583333333333333,0.45013477088948795,0.2651162790697673,0.5892857142857142,0.4761904761904764,0.3101265822784809,0.19047619047619058,2,-1,-1,0.2318992624369252,113,,0,"[0.40578802838831035, 0.30991760773494487]","[0.7288131477087822, 0.23574008537618227]"
Boston College,0.1941391941391942,0.7033492822966508,0.08571428571428578,0.379310344827586,0.1937500000000001,0.16666666666666669,0.40700808625336926,0.37209302325581406,0.6964285714285714,0.5476190476190478,0.3037974683544304,0.1428571428571429,2,-1,-1,0.20228341625405766,119,,0,"[0.413964691985305, 0.3292922031759445]","[0.7357834495993848, 0.47171707176468913]"
Michigan State,0.2014652014652015,0.23923444976076566,0.1142857142857144,0.379310344827586,0.06875000000000009,0.7916666666666666,0.8598382749326144,0.530232558139535,0.6785714285714285,0.7380952380952382,0.6582278481012657,0.23809523809523814,2,-1,-1,0.42453710008365186,75,,0,"[0.8154330889088668, 0.0750674344003548]","[0.6413086325692915, 0.435902745685322]"
Mississippi State,0.2087912087912088,0.22009569377990412,0.4000000000000001,0.5517241379310343,0.40000000000000013,0.4583333333333333,0.6954177897574123,0.6558139534883723,0.6964285714285714,0.7857142857142859,0.721518987341772,0.523809523809524,0,-1,-1,0.5641651221358963,35,,0,"[0.7984515037692578, 0.2785087677717727]","[0.3324340092574333, 0.5097409770113477]"
