XH,Pts_D,Pct_D,Avg1_D,Avg2_D,Tot_D,TO_D,Pts_O,Pct_O,Avg1_O,Avg2_O,Tot_O,TO_O,classifyRes,markRes,recomRes,RankScore,Abs,Rel,trueRank,countRecom,tsne,LDA
Ole Miss,0.0,0.5741626794258375,0.20000000000000004,0.2413793103448276,0.2625,0.7499999999999999,0.463611859838275,0.5906976744186047,0.5178571428571429,0.6190476190476192,0.3860759493670885,0.5714285714285715,0,-1,-1,1.94925984,108,,105,0,"[0.40975380862196215, 0.11003270845947052]","[0.33361492708836105, 0.5561041500212215]"
Stanford,0.014652014652014603,0.444976076555024,0.08571428571428577,0.06896551724137936,0.1625000000000001,0.2083333333333333,0.4339622641509434,0.8139534883720929,0.5357142857142857,0.5952380952380955,0.3924050632911392,0.4285714285714287,0,-1,-1,1.06290789,125,,125,0,"[0.5202550948251046, 0.008058855043058259]","[0.1144778942218629, 0.3622089394335106]"
Clemson,0.02564102564102562,0.11004784688995206,0.0571428571428572,0.0,0.0,0.4583333333333333,0.5309973045822103,0.7953488372093026,0.3928571428571429,0.4761904761904764,0.3924050632911392,0.33333333333333337,0,-1,-1,0.68301204,127,,127,0,"[0.4839167057239032, 0.0]","[0.0, 0.273394292200146]"
LSU,0.05494505494505495,0.19138755980861247,0.42857142857142855,0.31034482758620696,0.08125000000000004,0.3333333333333333,0.44474393530997297,0.12093023255813964,0.6071428571428571,0.5238095238095238,0.3734177215189872,0.2857142857142858,0,-1,-1,1.4199091,122,,121,0,"[0.43164311756584595, 0.24174724104752943]","[0.2323826802405922, 0.4087466888089086]"
Temple,0.05494505494505495,0.5263157894736844,0.2857142857142857,0.2758620689655171,0.325,0.7499999999999999,0.3234501347708895,0.25581395348837216,0.3928571428571429,0.33333333333333337,0.06329113924050632,0.7619047619047621,0,-1,-1,2.06083565,104,,90,0,"[0.2008418765603072, 0.21917713792630802]","[0.3815479620248984, 0.5146534871443297]"
Alabama,0.08791208791208786,0.3205741626794258,0.1142857142857144,0.31034482758620696,0.15625,0.29166666666666663,0.6954177897574123,0.7767441860465116,0.6785714285714285,0.7857142857142859,0.6329113924050632,0.4285714285714287,0,0,-1,1.39208841,123,,123,0,"[0.7526796799351116, 0.14958240856515512]","[0.14940932536400528, 0.6239425371013405]"
Penn State,0.0952380952380953,0.2535885167464115,0.0285714285714286,0.1034482758620689,0.025000000000000026,0.375,0.2560646900269542,0.3674418604651163,0.28571428571428564,0.2857142857142857,0.3101265822784809,0.6190476190476192,0,-1,-1,0.85887624,126,,126,0,"[0.20710368687694927, 0.11930358144083464]","[0.06961199162826956, 0.3150400253957808]"
Texas Christian,0.1098901098901099,0.03827751196172237,0.0,0.2413793103448276,0.1625000000000001,1.0,0.954177897574124,0.6418604651162791,0.7142857142857142,0.7857142857142859,0.7088607594936708,0.4761904761904763,0,-1,-1,1.46355418,120,,119,0,"[0.8122126786491302, 0.05305535740247479]","[0.1192422297579705, 0.7331014226008944]"
Arkansas,0.1172161172161172,0.3684210526315789,0.20000000000000004,0.379310344827586,0.1937500000000001,0.4583333333333333,0.5606469002695417,0.36279069767441857,0.6785714285714285,0.5714285714285715,0.4999999999999999,0.2857142857142858,0,-1,-1,1.7484456,114,,116,0,"[0.4751390841750718, 0.22218589783855783]","[0.27690241912261354, 0.3740910604331404]"
UCF,0.1172161172161172,0.3540669856459331,0.1142857142857144,0.17241379310344826,0.1937500000000001,0.625,0.4582210242587601,0.3906976744186047,0.3392857142857143,0.3809523809523809,0.3924050632911392,0.7142857142857145,0,-1,-1,1.50162088,118,,118,0,"[0.26455620833404525, 0.14807799802722918]","[0.2193869155945478, 0.5346315792038179]"
Memphis,0.12820512820512822,0.27272727272727265,0.17142857142857146,0.2413793103448276,0.2875000000000001,0.7083333333333333,0.6765498652291105,0.7023255813953492,0.5178571428571429,0.5000000000000001,0.5253164556962026,0.3809523809523809,0,-1,-1,1.79332914,113,,111,0,"[0.4971386332562488, 0.08827115757560448]","[0.26242151987521684, 0.3340170665698872]"
Utah State,0.13553113553113552,0.30622009569377995,0.14285714285714285,0.2758620689655171,0.3062500000000001,0.5833333333333333,0.4258760107816711,0.6930232558139536,0.6428571428571429,0.5952380952380955,0.19620253164556947,0.3809523809523809,0,-1,-1,1.70766687,115,,114,0,"[0.4695456888842235, 0.10441678884605873]","[0.22495911946517094, 0.21235143036214885]"
San Diego State,0.13919413919413925,0.3875598086124401,0.2857142857142857,0.31034482758620696,0.23750000000000004,0.5416666666666666,0.3746630727762803,0.2232558139534883,0.7321428571428572,0.5952380952380955,0.3227848101265821,0.4761904761904763,0,-1,-1,1.84068082,110,,109,0,"[0.41123687524237057, 0.21708989942440768]","[0.298653271546187, 0.4792608568073027]"
Virginia Tech,0.15384615384615385,0.0,0.31428571428571433,0.379310344827586,0.15000000000000013,0.4166666666666666,0.3504043126684637,0.5488372093023256,0.4464285714285714,0.3571428571428573,0.3670886075949367,0.6190476190476192,0,-1,-1,1.42773783,121,,120,0,"[0.26288161546118866, 0.07660802320889579]","[0.15418524483160645, 0.33258498244942497]"
Houston,0.16849816849816854,0.3875598086124401,0.25714285714285723,0.31034482758620696,0.3062500000000001,0.6666666666666665,0.5040431266846361,0.5953488372093024,0.6249999999999999,0.5476190476190478,0.4873417721518986,0.4761904761904763,0,0,-1,2.06948666,103,,101,0,"[0.46666578679178894, 0.13050477770302907]","[0.3301464988444978, 0.41714155971372635]"
