2 qid:0 1:0.8424908424908426 2:0.5263157894736844 3:0.6857142857142858 4:0.8620689655172413 5:0.65625 6:0.4583333333333333 7:0.5956873315363882 8:0.6651162790697676 9:0.48214285714285715 10:0.5238095238095238 11:0.6012658227848101 12:0.523809523809524
1 qid:0 1:0.27838827838827845 2:0.6076555023923446 3:0.4000000000000001 4:0.5172413793103448 5:0.5687500000000001 6:0.6666666666666665 7:0.9245283018867924 8:0.9860465116279071 9:0.75 10:0.9285714285714287 11:0.810126582278481 12:0.0
2 qid:1 1:0.728937728937729 2:0.6028708133971291 3:0.8571428571428571 4:0.9655172413793102 5:0.7125000000000001 6:0.375 7:0.4474393530997305 8:0.15813953488372093 9:0.9107142857142857 10:0.7380952380952382 11:0.17088607594936703 12:0.38095238095238104
1 qid:1 1:0.3553113553113553 2:0.7272727272727274 3:0.6571428571428571 4:0.7931034482758619 5:0.44999999999999996 6:0.5833333333333333 7:0.7223719676549865 8:0.21395348837209316 9:0.857142857142857 10:0.7857142857142859 11:0.6772151898734177 12:0.2857142857142858
2 qid:2 1:0.8534798534798534 2:0.6842105263157896 3:0.7714285714285715 4:1.0 5:0.4750000000000001 6:0.25 7:0.36657681940700804 8:0.33023255813953506 9:0.4285714285714286 10:0.4285714285714287 11:0.5189873417721518 12:0.5714285714285715
1 qid:2 1:0.4102564102564103 2:0.6267942583732057 3:0.5714285714285714 4:0.689655172413793 5:0.49375000000000013 6:0.4583333333333333 7:0.6172506738544474 8:0.572093023255814 9:0.5714285714285714 10:0.6904761904761906 11:0.6012658227848101 12:0.4761904761904763
2 qid:3 1:0.8351648351648352 2:0.688995215311005 3:0.8285714285714286 4:0.8620689655172413 5:0.8187500000000001 6:0.25 7:0.32614555256064687 8:0.35813953488372086 9:0.4285714285714286 10:0.3571428571428573 11:0.4430379746835443 12:0.2857142857142858
1 qid:3 1:0.4835164835164835 2:0.6028708133971291 3:0.4000000000000001 4:0.5517241379310343 5:0.44999999999999996 6:0.4583333333333333 7:0.5849056603773584 8:0.5674418604651162 9:0.5357142857142857 10:0.6428571428571429 11:0.6012658227848101 12:0.6190476190476192
2 qid:4 1:0.8241758241758242 2:0.47368421052631593 3:0.7999999999999999 4:0.8965517241379308 5:0.625 6:0.25 7:0.2911051212938005 8:0.2883720930232557 9:0.41071428571428564 10:0.4285714285714287 11:0.39240506329113917 12:0.6190476190476192
1 qid:4 1:0.35897435897435903 2:0.5645933014354068 3:0.48571428571428577 4:0.5862068965517241 5:0.46250000000000013 6:0.3333333333333333 7:0.6495956873315364 8:0.4139534883720931 9:0.9821428571428571 10:0.8571428571428573 11:0.43037974683544306 12:0.19047619047619058
